,Name,Long,Lat
0,Bulvar Rokossovskogo, 55.8038, 37.7448
1,Cherkizovskaya, ﻿55.8038, 37.7448
2,Preobrazhenskaya Ploshchad, ﻿55.7963, 37.7151
3,Sokolniki, ﻿55.7888, 37.6802
4,Krasnoselskaya, ﻿55.7801, 37.6673
5,Komsomolskaya, ﻿55.7753, 37.6562
6,Krasnye Vorota, ﻿55.7690, 37.6487
7,Chistyye Prudy, ﻿55.7657, 37.6388
8,Lubyanka, ﻿55.7597, 37.6272
9,Okhotny Ryad, ﻿55.7577, 37.6166
10,Biblioteka Imeni Lenina, ﻿55.7512, 37.6100
11,Kropotkinskaya, ﻿55.7453, 37.6037
12,Park Kultury, ﻿55.7356, 37.5943
13,Frunzenskaya, ﻿55.7267, 37.5786
14,Sportivnaya, ﻿55.7233, 37.5639
15,Vorobyovy Gory, ﻿55.7103, 37.5592
16,Universitet, ﻿55.6926, 37.5333
17,Prospekt Vernadskogo, ﻿55.6771, 37.5060
18,Yugo-Zapadnaya, ﻿55.6637, 37.4833
19,Troparyovo, ﻿55.6459, 37.4725
20,Rumyantsevo, ﻿55.6330, 37.4419
21,Salaryevo, ﻿55.6227, 37.4240
22,Filatov Lug, ﻿55.601367, 37.407645
23,Prokshino, ﻿55.586242, 37.433802
24,Olkhovaya, ﻿55.568643, 37.459332
25,Kommunarka, ﻿55.560396, 37.468220
26,Khovrino, ﻿55.8791, 37.4822
27,Belomorskaya, ﻿55.8658, 37.4764
28,Rechnoy Vokzal, ﻿55.8549, 37.4761
29,Vodny Stadion, ﻿55.8398, 37.4867
30,Voykovskaya, ﻿55.8190, 37.4980
31,Sokol, ﻿55.8051, 37.5153
32,Aeroport, ﻿55.8003, 37.5329
33,Dinamo, ﻿55.7897, 37.5580
34,Belorusskaya, ﻿55.7767, 37.5835
35,Mayakovskaya, ﻿55.7701, 37.5958
36,Tverskaya, ﻿55.7647, 37.6065
37,Teatralnaya, ﻿55.7578, 37.6190
38,Novokuznetskaya, ﻿55.7415, 37.6295
39,Paveletskaya, ﻿55.7305, 37.6377
40,Avtozavodskaya, ﻿55.7074, 37.6576
41,Tekhnopark, ﻿55.6950, 37.6641
42,Kolomenskaya, ﻿55.6785, 37.6638
43,Kashirskaya, ﻿55.6551, 37.6487
44,Kantemirovskaya, ﻿55.6358, 37.6564
45,Tsaritsyno, ﻿55.6214, 37.6694
46,Orekhovo, ﻿55.6132, 37.6949
47,Domodedovskaya, ﻿55.6108, 37.7186
48,Krasnogvardeyskaya, ﻿55.6137, 37.7444
49,Alma-Atinskaya, ﻿55.6326, 37.7660
50,Pyatnitskoye Shosse, ﻿55.8563, 37.3544
51,Mitino, ﻿55.8457, 37.3622
52,Volokolamskaya, ﻿55.8354, 37.3822
53,Myakinino, ﻿55.8252, 37.3852
54,Strogino, ﻿55.8038, 37.4031
55,Krylatskoye, ﻿55.7567, 37.4081
56,Molodyozhnaya, ﻿55.7408, 37.4168
57,Kuntsevskaya, ﻿55.7307, 37.4459
58,Slavyansky Bulvar, ﻿55.7296, 37.4706
59,Park Pobedy, ﻿55.7362, 37.5182
60,Kiyevskaya, ﻿55.7442, 37.5645
61,Smolenskaya, ﻿55.7474, 37.5823
62,Arbatskaya, ﻿55.7522, 37.6061
63,Ploshchad Revolyutsii, ﻿55.7566, 37.6216
64,Kurskaya, ﻿55.7576, 37.6577
65,Baumanskaya, ﻿55.7730, 37.6806
66,Elektrozavodskaya, ﻿55.7817, 37.7037
67,Semyonovskaya, ﻿55.7833, 37.7208
68,Partizanskaya, ﻿55.7886, 37.7506
69,Izmaylovskaya, ﻿55.7878, 37.7814
70,Pervomayskaya, ﻿55.7948, 37.7993
71,Shchyolkovskaya, ﻿55.8094, 37.7986
72,Kuntsevskaya, ﻿55.7307, 37.4459
73,Pionerskaya, ﻿55.7360, 37.4671
74,Filyovsky Park, ﻿55.7396, 37.4833
75,Bagrationovskaya, ﻿55.7438, 37.4977
76,Fili, ﻿55.7460, 37.5150
77,Kutuzovskaya, ﻿55.7399, 37.5344
78,Studencheskaya, ﻿55.7388, 37.5483
79,Mezhdunarodnaya, ﻿55.7483, 37.5339
80,Vystavochnaya, ﻿55.7502, 37.5408
81,Kiyevskaya, ﻿55.7436, 37.5655
82,Smolenskaya, ﻿55.7488, 37.5825
83,Arbatskaya, ﻿55.7518, 37.6007
84,Aleksandrovsky Sad, ﻿55.7525, 37.6085
85,Kiyevskaya, ﻿55.7446, 37.5644
86,Krasnopresnenskaya, ﻿55.7613, 37.5774
87,Belorusskaya, ﻿55.7764, 37.5844
88,Novoslobodskaya, ﻿55.7799, 37.6028
89,Prospekt Mira, ﻿55.7798, 37.6318
90,Komsomolskaya, ﻿55.7748, 37.6549
91,Kurskaya, ﻿55.7570, 37.6595
92,Taganskaya, ﻿55.7418, 37.6517
93,Paveletskaya, ﻿55.7318, 37.6379
94,Dobryninskaya, ﻿55.7291, 37.6243
95,Oktyabrskaya, ﻿55.7297, 37.6091
96,Park Kultury, ﻿55.7357, 37.5915
97,Medvedkovo, ﻿55.8872, 37.6613
98,Babushkinskaya, ﻿55.8694, 37.6644
99,Sviblovo, ﻿55.8552, 37.6527
100,Botanichesky Sad, ﻿55.8449, 37.6383
101,VDNKh, ﻿55.8211, 37.6411
102,Alekseyevskaya, ﻿55.8088, 37.6390
103,Rizhskaya, ﻿55.7936, 37.6362
104,Prospekt Mira, ﻿55.7812, 37.6318
105,Sukharevskaya, ﻿55.7733, 37.6319
106,Turgenevskaya, ﻿55.7661, 37.6374
107,Kitay-gorod, ﻿55.7553, 37.6333
108,Tretyakovskaya, ﻿55.7412, 37.6274
109,Oktyabrskaya, ﻿55.7306, 37.6112
110,Shabolovskaya, ﻿55.7198, 37.6083
111,Leninsky Prospekt, ﻿55.7077, 37.5861
112,Akademicheskaya, ﻿55.6877, 37.5733
113,Profsoyuznaya, ﻿55.6780, 37.5627
114,Novye Cheryomushki, ﻿55.6702, 37.5544
115,Kaluzhskaya, ﻿55.6571, 37.5405
116,Belyayevo, ﻿55.6428, 37.5257
117,Konkovo, ﻿55.6333, 37.5188
118,Tyoply Stan, ﻿55.6191, 37.5082
119,Yasenevo, ﻿55.6063, 37.5333
120,Novoyasenevskaya, ﻿55.6010, 37.5541
121,Planernaya, ﻿55.8607, 37.4364
122,Skhodnenskaya, ﻿55.8505, 37.4396
123,Tushinskaya, ﻿55.8267, 37.4368
124,Spartak, ﻿55.8182, 37.4352
125,Shchukinskaya, ﻿55.8086, 37.4641
126,Oktyabrskoye Polye, ﻿55.7935, 37.4935
127,Polezhayevskaya, ﻿55.7775, 37.5192
128,Begovaya, ﻿55.7738, 37.5468
129,Ulitsa 1905 Goda, ﻿55.7650, 37.5613
130,Barrikadnaya, ﻿55.7612, 37.5795
131,Pushkinskaya, ﻿55.7650, 37.6079
132,Kuznetsky Most, ﻿55.7606, 37.6259
133,Kitay-gorod, ﻿55.7553, 37.6333
134,Taganskaya, ﻿55.7402, 37.6522
135,Proletarskaya, ﻿55.7319, 37.6659
136,Volgogradsky Prospekt, ﻿55.7253, 37.6869
137,Tekstilshchiki, ﻿55.7088, 37.7316
138,Kuzminki, ﻿55.7056, 37.7656
139,Ryazansky Prospekt, ﻿55.7170, 37.7933
140,Vykhino, ﻿55.7156, 37.8181
141,Lermontovsky Prospekt, ﻿55.7013, 37.8525
142,Zhulebino, ﻿55.6855, 37.8563
143,Kotelniki, ﻿55.6743, 37.8582
144,Rasskazovka, ﻿55.6339, 37.3347
145,Novoperedelkino, ﻿55.6396, 37.3552
146,Borovskoye Shosse, ﻿55.6476, 37.3701
147,Solntsevo, ﻿55.6493, 37.3909
148,Govorovo, ﻿55.6595, 37.4172
149,Ozyornaya, ﻿55.6709, 37.4491
150,Michurinsky Prospekt, ﻿55.6896, 37.4833
151,Ramenki, ﻿55.6975, 37.4984
152,Lomonosovsky Prospekt, ﻿55.7069, 37.5156
153,Minskaya, ﻿55.7246, 37.4970
154,Park Pobedy, ﻿55.7362, 37.5182
155,Delovoy Tsentr, ﻿55.7475, 37.5319
156,Tretyakovskaya, ﻿55.7412, 37.6274
157,Marksistskaya, ﻿55.7411, 37.6543
158,Ploshchad Ilyicha, ﻿55.7472, 37.6824
159,Aviamotornaya, ﻿55.7524, 37.7191
160,Shosse Entuziastov, ﻿55.7576, 37.7500
161,Perovo, ﻿55.7511, 37.7866
162,Novogireyevo, ﻿55.7517, 37.8166
163,Novokosino, ﻿55.7451, 37.8638
164,Altufyevo, ﻿55.8980, 37.5870
165,Bibirevo, ﻿55.8838, 37.6034
166,Otradnoye, ﻿55.8633, 37.6047
167,Vladykino, ﻿55.8473, 37.5899
168,Petrovsko-Razumovskaya, ﻿55.8351, 37.5745
169,Timiryazevskaya, ﻿55.8176, 37.5765
170,Dmitrovskaya, ﻿55.8069, 37.5817
171,Savyolovskaya, ﻿55.7927, 37.5885
172,Mendeleyevskaya, ﻿55.7810, 37.6011
173,Tsvetnoy Bulvar, ﻿55.7708, 37.6187
174,Chekhovskaya, ﻿55.7644, 37.6097
175,Borovitskaya, ﻿55.7511, 37.6072
176,Polyanka, ﻿55.7379, 37.6180
177,Serpukhovskaya, ﻿55.7280, 37.6246
178,Tulskaya, ﻿55.7087, 37.6229
179,Nagatinskaya, ﻿55.6830, 37.6224
180,Nagornaya, ﻿55.6724, 37.6104
181,Nakhimovsky Prospekt, ﻿55.6627, 37.6055
182,Sevastopolskaya, ﻿55.6524, 37.5984
183,Chertanovskaya, ﻿55.6405, 37.6067
184,Yuzhnaya, ﻿55.6224, 37.6090
185,Prazhskaya, ﻿55.6124, 37.6044
186,Ulitsa Akademika Yangelya, ﻿55.5949, 37.6004
187,Annino, ﻿55.5828, 37.5966
188,Bulvar Dmitriya Donskogo, ﻿55.5693, 37.5769
189,Seligerskaya, ﻿55.865000, 37.548333
190,Verkhnie Likhobory, ﻿55.855833, 37.561111
191,Okruzhnaya, ﻿55.846000, 37.574250
192,Petrovsko-Razumovskaya, ﻿55.8351, 37.5745
193,Fonvizinskaya, ﻿55.8228, 37.5881
194,Butyrskaya, ﻿55.8133, 37.6028
195,Maryina Roshcha (Lyublinsko–Dmitrovskaya line), ﻿55.7954, 37.6162
196,Dostoyevskaya, ﻿55.7816, 37.6151
197,Trubnaya, ﻿55.7688, 37.6200
198,Sretensky Bulvar, ﻿55.7668, 37.6392
199,Chkalovskaya, ﻿55.7565, 37.6573
200,Rimskaya, ﻿55.7463, 37.6819
201,Krestyanskaya Zastava, ﻿55.7331, 37.6673
202,Dubrovka, ﻿55.7186, 37.6760
203,Kozhukhovskaya, ﻿55.7074, 37.6851
204,Pechatniki (Lyublinsko–Dmitrovskaya line), ﻿55.6934, 37.7270
205,Volzhskaya, ﻿55.6909, 37.7530
206,Lyublino, ﻿55.6758, 37.7618
207,Bratislavskaya, ﻿55.6597, 37.7505
208,Maryino, ﻿55.6500, 37.7431
209,Borisovo, ﻿55.6334, 37.7436
210,Shipilovskaya, ﻿55.6211, 37.7437
211,Zyablikovo, ﻿55.6124, 37.7453
212,Mnyovniki, ﻿55.7585, 37.4708
213,Narodnoye Opolcheniye, ﻿55.7738, 37.4844
214,Delovoy Tsentr, ﻿55.7475, 37.5319
215,Shelepikha, ﻿55.7567, 37.5260
216,Khoroshyovskaya, ﻿55.7768, 37.5207
217,CSKA (Moscow Metro), ﻿55.7866, 37.5333disambiguation needed])
218,Petrovsky Park, ﻿55.7918, 37.5571
219,Savyolovskaya, ﻿55.7936, 37.5880
220,Bittsevsky Park, ﻿55.6004, 37.5562
221,Lesoparkovaya, ﻿55.5821, 37.5769
222,Ulitsa Starokachalovskaya, ﻿55.5690, 37.5767
223,Ulitsa Skobelevskaya, ﻿55.5481, 37.5546
224,Bulvar Admirala Ushakova, ﻿55.5455, 37.5430
225,Ulitsa Gorchakova, ﻿55.5418, 37.5308
226,Buninskaya Alleya, ﻿55.5380, 37.5158
227,Timiryazevskaya, ﻿55.8190, 37.5789
228,Ulitsa Milashenkova, ﻿55.8218, 37.5911
229,Teletsentr, ﻿55.8218, 37.6089
230,Ulitsa Akademika Korolyova, ﻿55.8218, 37.6269
231,Vystavochny Tsentr, ﻿55.8240, 37.6383
232,Ulitsa Sergeya Eyzenshteyna, ﻿55.8292, 37.6449
233,Okruzhnaya, ﻿55.8472, 37.5694
234,Vladykino, ﻿55.8476, 37.5930
235,Botanichesky Sad, ﻿55.8460, 37.6413
236,Rostokino, ﻿55.8400, 37.6653
237,Belokamennaya, ﻿55.8300, 37.7006
238,Bulvar Rokossovskogo, ﻿55.8172, 37.7369
239,Lokomotiv, ﻿55.8039, 37.7460
240,Izmaylovo, ﻿55.7886, 37.7428
241,Sokolinaya Gora, ﻿55.7714, 37.7451
242,Shosse Entuziastov, ﻿55.7590, 37.7463
243,Andronovka, ﻿55.7411, 37.7344
244,Nizhegorodskaya, ﻿55.7322, 37.7282
245,Novokhokhlovskaya, ﻿55.7239, 37.7161
246,Ugreshskaya, ﻿55.7183, 37.6978
247,Dubrovka, ﻿55.7183, 37.6978
248,Avtozavodskaya, ﻿55.7063, 37.6631
249,ZIL (Moscow Central Circle), ﻿55.6983, 37.6483
250,Verkhniye Kotly, ﻿55.6900, 37.6189
251,Krymskaya, ﻿55.6900, 37.6050
252,Ploshchad Gagarina, ﻿55.7069, 37.5858
253,Luzhniki, ﻿55.7203, 37.5631
254,Kutuzovskaya, ﻿55.7408, 37.5333
255,Delovoy Tsentr, ﻿55.7472, 37.5322
256,Shelepikha, ﻿55.7575, 37.5256
257,Khoroshyovo, ﻿55.7772, 37.5072
258,Zorge, ﻿55.7878, 37.5045
259,Panfilovskaya, ﻿55.7991, 37.4988
260,Streshnevo, ﻿55.8136, 37.4869
261,Baltiyskaya, ﻿55.8258, 37.4961
262,Koptevo, ﻿55.8397, 37.5203
263,Likhobory, ﻿55.8472, 37.5513
264,Elektrozavodskaya, ﻿55.780292, 37.703013
265,Lefortovo, ﻿55.764738, 37.706747
266,Aviamotornaya, ﻿55.753670, 37.719149
267,Nizhegorodskaya, ﻿55.731748, 37.730076
268,Stakhanovskaya, ﻿55.7250, 37.7619
269,Okskaya, ﻿55.7186, 37.7817
270,Yugo-Vostochnaya, ﻿55.704970, 37.819010
271,Kosino, ﻿55.7033, 37.8511
272,Ulitsa Dmitriyevskogo, ﻿55.7100, 37.8792
273,Lukhmanovskaya, ﻿55.7085, 37.9004
274,Nekrasovka, ﻿55.7036, 37.9264
